,name,tradeScale,subName,brand,datatype,size,dateQty,price
149,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,260,22/04/23,228000
150,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,285,22/04/23,229000
151,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,290,22/04/23,225000
152,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,305,22/04/23,232000
153,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,280,22/04/23,218000
154,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,270,22/04/23,217000
155,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,260,22/04/23,226000
156,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,275,22/04/23,216000
157,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,255,22/04/23,233000
158,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,260,22/04/23,215000
159,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,255,22/04/23,239000
160,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,255,22/04/23,238000
161,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,260,22/04/23,216000
162,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,265,22/04/23,229000
163,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,270,22/04/23,221000
164,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,285,22/04/23,227000
165,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,275,22/04/23,216000
166,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,275,22/04/23,219000
167,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,255,22/04/23,240000
168,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,265,22/04/23,229000
169,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,275,22/04/23,226000
170,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,280,22/04/23,229000
171,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,250,22/04/23,240000
172,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,265,22/04/23,220000
173,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,265,22/04/23,217000
174,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,265,22/04/23,218000
175,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,240(US 6),22/04/23,328000
176,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,260,22/04/23,226000
177,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,275,22/04/23,219000
178,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,275,22/04/23,216000
179,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,280,22/04/23,220000
180,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,265,22/04/23,220000
181,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,260,22/04/23,216000
182,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,275,22/04/23,219000
183,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,240(US 6),22/04/23,359000
184,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,270,22/04/23,225000
185,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,240(US 6),22/04/23,334000
186,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,260,22/04/23,225000
187,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,265,22/04/23,228000
188,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,265,22/04/23,218000
189,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,270,22/04/23,217000
190,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,270,22/04/23,217000
191,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,260,22/04/23,220000
192,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,270,22/04/23,225000
193,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,270,22/04/23,222000
194,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,275,22/04/23,217000
195,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,250,22/04/23,245000
196,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,240(US 6),22/04/23,333000
197,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,265,22/04/23,227000
198,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,265,22/04/23,219000
199,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,280,22/04/23,229000
200,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,275,22/04/23,225000
201,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,280,22/04/23,220000
202,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,275,22/04/23,224000
203,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,290,22/04/23,241000
204,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,270,22/04/23,221000
205,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,270,22/04/23,225000
206,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,265,22/04/23,224000
207,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,260,22/04/23,216000
208,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,275,22/04/23,217000
209,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,270,22/04/23,220000
210,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,265,22/04/23,220000
211,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,265,22/04/23,224000
